Source,Target,size,Weight
 Rooms,1R43EB030890-01,1,
10 year old,5K99MH118359-02,2,
10 year old,1K99MH118359-01A1,2,
11 year old,5R01MH124106-02,2,
11 year old,1R01MH124106-01,2,
12 year old,5K08MH121654-02,2,
12 year old,1K08MH121654-01A1,2,
16S ribosomal RNA sequencing,1DP2AI164318-01,1,
18 year old,1K23AI159518-01,,
18 year old,5R00NR017651-04,,
18 year old,4R00NR017651-03,,
18 year old,5K99NR017651-02,,
19q,1R03NS116334-01,,
1-Phosphatidylinositol 3-Kinase,1K99CA256497-01,,
2 year old,1RF1MH123202-01A1,,
2019-nCoV,1R01AI164481-01A1,,
2019-nCoV,1K01AI163498-01,,
2019-nCoV,1R61HD105593-01,,
2019-nCoV,1R61HD105591-01,,
2019-nCoV,1ZIALM200887-13,,
2019-nCoV,1R21LM013683-01,,
2019-nCoV,1K23AI159518-01,,
2019-nCoV,3R01LM006910-20S1,,
2019-nCoV,3UL1TR002556-04S2,,
2019-nCoV,3R01AG066749-01S1,,
2019-nCoV,3R35GM119582-04S1,,
2019-nCoV,3R01AI127203-04S1,,
21 year old,1R03AG070486-01,,
37 weeks gestation,5K01HL141771-04,,
37 weeks gestation,7K01HL141771-02,,
37 weeks gestation,5K01HL141771-03,,
3D Print,1ZIABC011936-02,,
3D virtual reality,5R44MH125238-02,,
3D virtual reality,1R44MH125238-01,,
3-Dimensional,3R01EB029362-03S1,,
3-Dimensional,3U01DE028729-03S2,,
3-Dimensional,3R01AG066707-02S1,,
3-Dimensional,3R01GM134020-02S1,,
3-Dimensional,1R41EB032722-01,,
3-Dimensional,1RF1MH123206-01A1,,
3-Dimensional,1R44NS120796-01A1,,
3-Dimensional,2R01LM012806-05,,
3-Dimensional,1U19NS123716-01,,
3-Dimensional,1P41EB031771-01,,
3-Dimensional,5R42AG053149-03,,
3-Dimensional,2R44GM134789-02A1,,
3-Dimensional,5UH3CA246594-03,,
3-Dimensional,5R44MH118815-04,,
3-Dimensional,5UH3CA246594-02,,
3-Dimensional,5R21EY031725-02,,
3-Dimensional,5K02NS104207-05,,
3-Dimensional,5R01GM126189-04,,
3-Dimensional,5U01MH115727-05,,
3-Dimensional,2R01HG003747-12,,
3-Dimensional,5U54AI142766-04,,
3-Dimensional,5R01NS047293-17,,
3-Dimensional,5U19NS107466-04,,
3-Dimensional,1R21EB031332-01,,
3-Dimensional,4R33AR073552-03,,
3-Dimensional,5R44MH119022-03,,
3-Dimensional,1R01AR078762-01,,
3-Dimensional,5R01LM013120-03,,
3-Dimensional,5R01GM131398-04,,
3-Dimensional,5P30DK079312-15,,
3-Dimensional,1U19AG066567-01A1,,
3-Dimensional,5R01AI146028-03,,
3-Dimensional,2R42AG053149-02A1,,
3-Dimensional,5R35GM122547-05,,
3-Dimensional,5R44MH125238-02,,
3-Dimensional,5R01GM131642-03,,
3-Dimensional,1R01CA247910-01A1,,
3-Dimensional,5R21EB029575-02,,
3-Dimensional,5R37CA240403-02,,
3-Dimensional,5R01GM130825-03,,
3-Dimensional,1R21EY031725-01,,
3-Dimensional,1R44MH125238-01,,
3-Dimensional,2R44MH119022-02,,
3-Dimensional,5U01MH115727-04,,
3-Dimensional,5F31LM012946-02,,
3-Dimensional,5R44MH118815-03,,
3-Dimensional,5R01GM126189-03,,
3-Dimensional,5U54AI142766-03,,
3-Dimensional,1R21EB029575-01,,
3-Dimensional,5R35GM122547-04,,
3-Dimensional,5R01AI146028-02,,
3-Dimensional,5R00AR070902-04,,
3-Dimensional,5U19NS107466-03,,
3-Dimensional,5R01GM131642-02,,
3-Dimensional,1R37CA240403-01A1,,
3-Dimensional,1UH3CA246594-01,,
3-Dimensional,5R01GM130825-02,,
3-Dimensional,1R01AI146028-01,,
3-Dimensional,5U19NS107466-02,,
3-Dimensional,1R01GM131642-01A1,,
3-Dimensional,1F31LM012946-01A1,,
3-Dimensional,5R01GM126189-02,,
3-Dimensional,5R00AR070902-03,,
3-Dimensional,5P41EB015922-22,,
3-Dimensional,5R61AR073552-02,,
3-Dimensional,1R01GM130825-01,,
4D Imaging,1RF1MH123206-01A1,,
4D Imaging,5R44MH125238-02,,
4D Imaging,1R44MH125238-01,,
5 Alpha-Reductase Inhibitor,1K01DK129405-01,,
5 year old,5R01EB029944-02,,
5 year old,1RF1MH123202-01A1,,
5 year old,5K23DK117061-03,,
5 year old,5K23DK117061-02,,
5 year old,1K23DK117061-01A1,,
8 year old,1R01LM013364-01A1,,
Abbreviations,5R01GM089753-11,,
Abbreviations,5P30CA034196-35,,
Abbreviations,2P30CA016058-45,,
Abbreviations,2P30CA034196-34,,
Abbreviations,2R01GM089753-10,,
ABCB1 gene,1P30HD106451-01,,
Abdomen,5P41EB017183-08,,
Abdomen,5R01HL150394-02,,
Abdomen,7R01HL149670-02,,
Abdomen,5R01HL149670-03,,
Abdomen,5P41EB017183-07,,
Abdomen,1R01HL150394-01,,
Abdomen,1R01HL149670-01,,
Abdominal Cavity,7R01HL149670-02,,
Abdominal Cavity,5R01HL149670-03,,
Abdominal Cavity,1R01HL149670-01,,
ABL1 gene,5R21CA232249-02,,
ABL1 gene,1R21CA232249-01A1,,
Ablation,5K99NR019124-02,,
Ablation,1K99NR019124-01,,
Absence of pain sensation,1K23HD105978-01,,
Absence of pain sensation,5R01LM013362-03,,
Absence of pain sensation,5R01LM013362-02,,
Absence of pain sensation,5R21LM012922-02,,
Absence of pain sensation,1R01LM013362-01A1,,
Absenteeism,5P30DA023026-13,,
Absenteeism,5R01AI151176-02,,
Absenteeism,5P30DA023026-12,,
Absenteeism,1R01AI151176-01,,
absorption,1P30HD106451-01,,
absorption,5K23DK117061-03,,
absorption,5R01GM130825-03,,
absorption,5K23DK117061-02,,
absorption,5R01GM130825-02,,
absorption,1K23DK117061-01A1,,
absorption,1R01GM130825-01,,
abstracting,3R01LM006910-21S1,,
abstracting,2P30AR069589-06,,
abstracting,5K99MH118359-02,,
abstracting,1K99MH118359-01A1,,
Academia,2KL2TR001862-06,,
Academia,2R44GM134756-02A1,,
Academia,1U54TW012043-01,,
Academia,1P30HD106451-01,,
Academia,3UH3AR076724-03S1,,
Academia,1P30AG073105-01,,
Academia,5U01AG068057-02,,
Academia,1U24CA258483-01,,
Academia,5R01EB029751-02,,
Academia,1R03AG070486-01,,
Academia,5K99CA245899-02,,
Academia,1R13AR077963-01,,
Academia,1U01AG068057-01,,
Academia,5T90DA043219-05,,
Academia,5R90DA043849-05,,
Academia,1R01EB029751-01A1,,
Academia,1R13AG064968-01A1,,
Academia,1K99CA245899-01,,
Academia,1P41EB027060-01A1,,
Academia,5R90DA043849-04,,
Academia,5T90DA043219-04,,
Academic Medical Centers,4UH3CA243120-03,,
Academic Medical Centers,1U54TW012077-01,,
Academic Medical Centers,5R01MH124724-02,,
Academic Medical Centers,5F31LM013403-02,,
Academic Medical Centers,5R00NR017651-04,,
Academic Medical Centers,5R01LM012966-04,,
Academic Medical Centers,5K99NR019124-02,,
Academic Medical Centers,5R00HG009678-04,,
Academic Medical Centers,5R01GM124104-04,,
Academic Medical Centers,4R00NR017651-03,,
Academic Medical Centers,1R01CA253923-01,,
Academic Medical Centers,5F31NR018589-02,,
Academic Medical Centers,1F31LM013403-01,,
Academic Medical Centers,5UG3CA243120-02,,
Academic Medical Centers,1K99NR019124-01,,
Academic Medical Centers,5R01LM012966-03,,
Academic Medical Centers,5R01GM124104-03,,
Academic Medical Centers,1F31NR018589-01A1,,
Academic Medical Centers,5R01LM012966-02,,
Academic Medical Centers,5UH2AI132342-02,,
Academic Medical Centers,5K99NR017651-02,,
Academic Medical Centers,5R01GM124104-02,,
academic program,5P30CA016672-45,,
academic program,3P30CA016672-43S1,,
academic program,5P30CA016672-44,,
academic program,2P30CA016672-43,,
Academic support,5P30CA016672-45,,
Academic support,3P30CA016672-43S1,,
Academic support,5P30CA016672-44,,
Academic support,2P30CA016672-43,,
Academic Training,1T35AI165252-01,,
Academic Training,1R25AI164581-01,,
Academic/Teacher Award,1K07AG073468-01,,
Academy,5R01LM013323-03,,
Academy,2R01GM116961-06A1,,
Academy,1U24CA258483-01,,
Academy,3R44ES028145-03S1,,
Academy,1R01EB030492-01,,
Academy,5R01LM013323-02,,
Academy,1R01LM013323-01,,
Academy,5R21EY030142-02,,
Academy,1P41EB027060-01A1,,
Academy,1R21EY030142-01,,
Acceleration,3R43CA254559-01A1S1,,
Acceleration,1R43CA254559-01A1,,
Acceleration,1R01AR078762-01,,
Acceleration,1R15EB029172-01,,
Accelerometer,1K01HL155404-01A1,,
Accelerometer,5R01GM135927-03,,
Accelerometer,5R21AG068890-02,,
Accelerometer,3R01GM135927-01S1,,
Accelerometer,1R21AG068890-01,,
Accelerometer,5R01GM135927-02,,
Accelerometer,5K23MH116130-02,,
acceptability and feasibility,1R01DA050676-01A1,,
Access to Information,5R13LM013127-03,,
Access to Information,5R01EB027650-02,,
Access to Information,5R13LM013127-02,,
Access to Information,1R01EB027650-01,,
Accident and Emergency department,3R01DA051464-02S1,,
Accident and Emergency department,1K23GM144802-01,,
Accident and Emergency department,1R01MH126895-01,,
Accident and Emergency department,1R56LM013517-01,,
Accident and Emergency department,5F31LM013403-02,,
Accident and Emergency department,1K23DK125718-01A1,,
Accident and Emergency department,5K25HL152006-02,,
Accident and Emergency department,1K23AI159518-01,,
Accident and Emergency department,3R01MH112138-05S1,,
Accident and Emergency department,3UG1DA040316-06S3,,
Accident and Emergency department,5K23DA045242-03,,
Accident and Emergency department,5R01MH119177-03,,
Accident and Emergency department,5F31NR018589-02,,
Accident and Emergency department,1F31LM013403-01,,
Accident and Emergency department,5R01MH119177-02,,
