Source,Target,size,Weight
Aging,Acquired Cognitive Impairment,142,0.459546926
ALS,Acquired Cognitive Impairment,2,0.013605442
Alzheimer's Disease,Acquired Cognitive Impairment,135,0.918367347
Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD),Acquired Cognitive Impairment,139,0.945578231
Alzheimer's Disease Related Dementias (ADRD),Acquired Cognitive Impairment,10,0.068027211
American Indian or Alaska Native,Acquired Cognitive Impairment,1,0.006802721
Assistive Technology,Acquired Cognitive Impairment,2,0.013605442
Autism,Acquired Cognitive Impairment,3,0.020408163
Autoimmune Disease,Acquired Cognitive Impairment,3,0.020408163
Basic Behavioral and Social Science,Acquired Cognitive Impairment,17,0.089473684
Behavioral and Social Science,Acquired Cognitive Impairment,43,0.086172345
Biomedical Imaging,Acquired Cognitive Impairment,27,0.112033195
Biotechnology,Acquired Cognitive Impairment,26,0.042692939
Brain Disorders,Acquired Cognitive Impairment,147,0.323788546
Cancer,Acquired Cognitive Impairment,1,0.002262443
Cardiovascular,Acquired Cognitive Impairment,3,0.020408163
Caregiving Research,Acquired Cognitive Impairment,9,0.06122449
Cerebrovascular,Acquired Cognitive Impairment,6,0.040816327
Chronic Pain,Acquired Cognitive Impairment,1,0.006802721
Clinical Trials and Supportive Activities,Acquired Cognitive Impairment,10,0.068027211
Comparative Effectiveness Research,Acquired Cognitive Impairment,2,0.013605442
Coronaviruses Disparities and At-Risk Populations,Acquired Cognitive Impairment,1,0.006802721
Dementia,Acquired Cognitive Impairment,144,0.979591837
Diabetes,Acquired Cognitive Impairment,2,0.013605442
Dissemination and Implementation Research,Acquired Cognitive Impairment,1,0.006802721
Frontotemporal Dementia (FTD),Acquired Cognitive Impairment,6,0.040816327
Genetic Testing,Acquired Cognitive Impairment,3,0.020408163
Health Services,Acquired Cognitive Impairment,13,0.064039409
Heart Disease,Acquired Cognitive Impairment,1,0.006802721
Hematology,Acquired Cognitive Impairment,1,0.006802721
Injury - Trauma - (Head and Spine),Acquired Cognitive Impairment,1,0.006802721
Injury - Traumatic brain injury,Acquired Cognitive Impairment,1,0.006802721
Injury (total) Accidents/Adverse Effects,Acquired Cognitive Impairment,1,0.006802721
Intellectual and Developmental Disabilities (IDD),Acquired Cognitive Impairment,3,0.020408163
Lewy Body Dementia,Acquired Cognitive Impairment,1,0.006802721
Lung,Acquired Cognitive Impairment,2,0.013605442
Mental Health,Acquired Cognitive Impairment,12,0.044609665
Mental Illness,Acquired Cognitive Impairment,2,0.013605442
Multiple Sclerosis,Acquired Cognitive Impairment,1,0.006802721
Nanotechnology,Acquired Cognitive Impairment,2,0.013605442
Neurodegenerative,Acquired Cognitive Impairment,141,0.734375
Nutrition,Acquired Cognitive Impairment,2,0.013605442
Pain Research,Acquired Cognitive Impairment,2,0.013605442
Parkinson's Disease,Acquired Cognitive Impairment,1,0.006802721
Patient Safety,Acquired Cognitive Impairment,6,0.025862069
Pediatric Research Initiative,Acquired Cognitive Impairment,1,0.006802721
Physical Activity,Acquired Cognitive Impairment,2,0.013605442
Physical Injury - Accidents and Adverse Effects,Acquired Cognitive Impairment,1,0.006802721
Pneumonia,Acquired Cognitive Impairment,1,0.006802721
Pneumonia & Influenza,Acquired Cognitive Impairment,1,0.006802721
Precision Medicine,Acquired Cognitive Impairment,31,0.081578947
Rehabilitation,Acquired Cognitive Impairment,3,0.020408163
Rural Health,Acquired Cognitive Impairment,1,0.006802721
Schizophrenia,Acquired Cognitive Impairment,2,0.013605442
Serious Mental Illness,Acquired Cognitive Impairment,2,0.013605442
Sickle Cell Disease,Acquired Cognitive Impairment,1,0.006802721
Sleep Research,Acquired Cognitive Impairment,4,0.027210884
Social Determinants of Health,Acquired Cognitive Impairment,11,0.050691244
Stem Cell Research,Acquired Cognitive Impairment,1,0.006802721
Stem Cell Research - Induced Pluripotent Stem Cell,Acquired Cognitive Impairment,1,0.006802721
Stem Cell Research - Induced Pluripotent Stem Cell - Human,Acquired Cognitive Impairment,1,0.006802721
Stroke,Acquired Cognitive Impairment,2,0.013605442
Traumatic Brain Injury (TBI),Acquired Cognitive Impairment,1,0.006802721
Traumatic Head and Spine Injury,Acquired Cognitive Impairment,1,0.006802721
Vascular Cognitive Impairment/Dementia,Acquired Cognitive Impairment,3,0.020408163
"Alcoholism, Alcohol Use and Health",Aging,1,0.003236246
ALS,Aging,2,0.006472492
Alzheimer's Disease,Aging,135,0.436893204
Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD),Aging,142,0.459546926
Alzheimer's Disease Related Dementias (ADRD),Aging,13,0.042071197
American Indian or Alaska Native,Aging,1,0.003236246
Aphasia,Aging,3,0.009708738
Arthritis,Aging,11,0.035598706
Assistive Technology,Aging,5,0.01618123
Atherosclerosis,Aging,4,0.012944984
Autism,Aging,3,0.009708738
Autoimmune Disease,Aging,1,0.003236246
Basic Behavioral and Social Science,Aging,27,0.087378641
Behavioral and Social Science,Aging,91,0.182364729
Biodefense,Aging,1,0.003236246
Biomedical Imaging,Aging,51,0.165048544
Biotechnology,Aging,44,0.072249589
Brain Disorders,Aging,172,0.378854626
Breast Cancer,Aging,1,0.003236246
Cancer,Aging,26,0.058823529
Cancer Genomics,Aging,7,0.022653722
Cardiovascular,Aging,17,0.055016181
Caregiving Research,Aging,11,0.035598706
Cerebral Palsy,Aging,4,0.012944984
Cerebrovascular,Aging,22,0.071197411
Chronic Pain,Aging,3,0.009708738
Clinical Trials and Supportive Activities,Aging,20,0.064724919
