Source,Target,Weight
Data,Machine Learning,751
Data,Research,748
Data,Base,711
Data,Modeling,659
Data,Methods,648
Machine Learning,Research,643
Data,Goals,639
Data,Improved,616
Machine Learning,Base,608
Research,Base,575
Machine Learning,Modeling,568
Data,Time,566
Data,Tool,565
Data,Development,556
Data,Work,554
Goals,Research,553
Modeling,Research,553
Clinical,Data,550
Machine Learning,Methods,550
Methods,Research,548
Data,Novel,546
Modeling,Base,539
Goals,Machine Learning,534
Machine Learning,Improved,534
Address,Data,527
Research,Improved,523
Methods,Base,521
Base,Improved,516
Data,Data Set,514
Goals,Base,508
Development,Research,505
Data,Research Personnel,501
Methods,Modeling,489
Data,Training,488
Machine Learning,Time,481
Data,Patients,478
Research,Tool,475
Development,Machine Learning,475
Clinical,Research,472
Machine Learning,Tool,470
Research,Time,468
Time,Base,468
Base,Tool,462
Clinical,Base,460
Goals,Modeling,459
Research,Work,459
Machine Learning,Work,457
Modeling,Improved,456
Research,Research Personnel,456
Address,Research,455
Goals,Methods,455
Work,Base,453
Clinical,Machine Learning,453
Address,Machine Learning,452
Research,Novel,451
Development,Base,450
Data,Testing,447
Methods,Improved,447
Base,Novel,446
Machine Learning,Novel,443
Goals,Improved,441
Data Set,Machine Learning,436
Machine Learning,Training,436
Research,Training,430
Data,System,428
Modeling,Time,425
Address,Base,423
Methods,Tool,422
Methods,Novel,421
Machine Learning,Research Personnel,421
Data,Design,420
Clinical,Goals,418
Modeling,Tool,417
Data Set,Research,416
Goals,Tool,415
Data Set,Base,415
Modeling,Novel,415
Goals,Time,414
Development,Methods,413
Methods,Work,412
Development,Modeling,411
Clinical,Modeling,410
Algorithms,Data,409
Data,Disease,409
Goals,Work,407
Training,Base,405
Development,Goals,404
Patients,Research,403
Machine Learning,Patients,402
Time,Improved,400
Methods,Time,398
Data,Outcome,398
Clinical,Improved,397
Patients,Base,396
Address,Modeling,395
Clinical,Patients,391
Communities,Data,390
Data,Innovation,390
Data,Process,389
Improved,Novel,389
Research Personnel,Base,389
Modeling,Training,387
Modeling,Work,387
Data Set,Modeling,385
Goals,Novel,385
Data Set,Methods,384
Address,Methods,384
Improved,Tool,383
Machine Learning,Testing,382
Address,Improved,382
Complex,Data,379
Development,Work,378
Development,Improved,376
Work,Improved,376
Clinical,Methods,375
Clinical,Time,375
Goals,Training,374
Data,Techniques,374
Testing,Base,373
Data Set,Improved,372
Machine Learning,Design,368
Time,Work,367
Data,Individual,366
Work,Tool,366
Research,Design,365
Address,Goals,364
Time,Tool,362
Patients,Improved,362
Development,Tool,361
Goals,Research Personnel,361
Data,Knowledge,359
Data Set,Goals,358
Modeling,Research Personnel,358
Research,Testing,357
Methods,Research Personnel,357
Algorithms,Machine Learning,357
Machine Learning,System,356
Modeling,Testing,356
Time,Novel,355
Training,Improved,355
Research,System,352
Algorithms,Base,352
Data,Data Science,352
